image name,AP,AP50,AP75,APsmall,APmedium,APlarge,AR1,AR10,AR100,ARsmall,ARmedium,ARlarge
227.txt,0.4,1.0,0.0,-1,0.4,-1,0.4,0.4,0.4,-1,0.4,-1
228.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
229.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
230.txt,0.7168316831683168,1.0,1.0,-1,0.7252475247524752,0.7,0.2333333333333333,0.7333333333333333,0.7333333333333333,-1,0.75,0.7
231.txt,0.5,1.0,0.0,-1,0.5,-1,0.5,0.5,0.5,-1,0.5,-1
232.txt,0.5049504950495048,0.504950495049505,0.504950495049505,0.0,1.0,-1,0.5,0.5,0.5,0.0,1.0,-1
233.txt,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,-1,-1
234.txt,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1
235.txt,1.0,1.0,1.0,-1,-1,1.0,1.0,1.0,1.0,-1,-1,1.0
236.txt,0.4,1.0,0.0,-1,-1,0.4,0.4,0.4,0.4,-1,-1,0.4
237.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
238.txt,0.2,1.0,0.0,-1,-1,0.2,0.2,0.2,0.2,-1,-1,0.2
239.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
24.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
